Category: All categories

Day,aapl: (Canada)
2020-10-01,37
2020-10-02,53
2020-10-03,13
2020-10-04,3
2020-10-05,30
2020-10-06,57
2020-10-07,39
2020-10-08,41
2020-10-09,38
2020-10-10,7
2020-10-11,15
2020-10-12,71
2020-10-13,100
2020-10-14,65
2020-10-15,48
2020-10-16,47
2020-10-17,8
2020-10-18,3
2020-10-19,43
2020-10-20,45
2020-10-21,43
2020-10-22,37
2020-10-23,35
2020-10-24,8
2020-10-25,12
2020-10-26,39
2020-10-27,40
2020-10-28,45
2020-10-29,75
2020-10-30,86
2020-10-31,10
2020-11-01,7
2020-11-02,47
2020-11-03,54
2020-11-04,40
2020-11-05,47
2020-11-06,40
2020-11-07,5
2020-11-08,4
2020-11-09,55
2020-11-10,59
2020-11-11,49
2020-11-12,38
2020-11-13,44
2020-11-14,7
2020-11-15,4
2020-11-16,39
2020-11-17,41
2020-11-18,33
2020-11-19,31
2020-11-20,32
2020-11-21,17
2020-11-22,5
2020-11-23,45
2020-11-24,34
2020-11-25,35
2020-11-26,17
2020-11-27,18
2020-11-28,4
2020-11-29,5
2020-11-30,40
2020-12-01,36
